Brand,stat,val,stat1,val1,Talent
Foundry Bulwark3,Talent,,,,"Talent: Makeshift Repairs
Whenever you or your shield take damage, 20% of that amount is repaired to both over 15s."
Future Initiative1,Repair Skills,15,,,
Future Initiative2,Skill Duration,30,Skill Haste,15,
Future Initiative3,Talent,,,,"Talent: Ground Control
Increases you and your allies' total weapon and skill damage by 15% when at full armor.

When you repair an ally, you and all allies within 5m of you are also repaired for 60% of that amount."
Striker's Battlegear1,Weapon Handling,15,,,
Striker's Battlegear2,Rate of Fire %,15,,,
Striker's Battlegear3,Talent,,,,"Talent: Striker's Gamble
Weapon hits amplify total weapon damage by 0.5%, stacking up to 50 times.

2 stacks are lost each second."
System Corruption1,Armor on Kill %,15,,,
System Corruption2,Pulse Resistance,40,Disrupt Resistance,40,
System Corruption3,Talent,,,,"Talent: Hackstep Protocol
Replaces armor kits with an instant, infinite-use ability on a 20s cooldown, that repairs 20% armor, grants 50% bonus armor and hides your nameplate for 5s.

Increases total weapon damage by 1% per 5% bonus armor gained, up to 20%."
"Walker, Harris & Co.0",Weapon Damage,5,,,
"Walker, Harris & Co.1",Damage to Armor,5,,,
"Walker, Harris & Co.2",Damage to Health,5,,,
Eclipse Protocol1,Status Effects,15,,,
Eclipse Protocol2,Skill Haste,15,Hazard Protection,30,
Eclipse Protocol3,Talent,,,,"Talent: Indirect Transmission
Your status effects now spread on kill to all enemies within 10m and refresh 50% of the duration."
Hunter's Fury1,SMG Damage,15,Shotgun Damage,15,
Hunter's Fury2,Armor on Kill %,20,Health on Kill %,100,
Hunter's Fury3,Talent,,,,"Talent: Apex Predator
Enemies within 15m receive a debuff, amplifying your weapon damage against them by 20%.

Killing a debuffed enemy with your weapon disorients other enemies within 5m, and amplifies weapon damage by 5% for 10s, stacking up to 5 times."
Empress International0,Skill Health,10,,,
Empress International1,Skill Damage,10,,,
Empress International2,Skill Efficiency,10,,,
Rigger1,Skill Haste,15,,,
Rigger2,Skill Duration,15,,,
Rigger3,Talent,,,,"Talent: Tend and Befriend
Interacting with your deployed skills grants the skill 25% skill damage for 10s. This buff cannot be refreshed.

Interactions include:
- Using / Deploying the Skill
- Changing the skill's target
- Healing the skill"
Belstone Armory0,Armor Regeneration %,1,,,
Belstone Armory1,Armor on Kill %,10,,,
Belstone Armory2,Incoming Repairs,20,,,
Uzina Getica0,Total Armor,5,,,
Uzina Getica1,Armor on Kill,10,,,
Uzina Getica2,Hazard Protection,10,,,
Heartbreaker1,Assault Rifle Damage,15,LMG Damage,15,
Heartbreaker2,Weapon Handling,15,,,
Heartbreaker3,Talent,,,,"Talent: Heartstopper
Headshots apply pulse for 5s.

Weapon hits on pulsed enemies add a stack of +1% bonus armor and +1% damage to pulsed enemies, up to a max of 50 stacks.

2 stacks are lost each second."
